iter	RMSE
0	2615.035062
1	2452.863278
2	2302.398543
3	2161.496303
4	2029.592126
5	1906.799433
6	1790.534575
7	1681.080356
8	1579.285143
9	1484.452916
10	1395.950669
11	1309.295142
12	1230.735299
13	1156.080192
14	1086.815527
15	1021.001715
16	961.0624771
17	903.1839262
18	849.4120482
19	799.4148474
20	751.6771324
21	707.4669627
22	666.4273733
23	627.7804585
24	591.4874102
25	557.4619991
26	525.3805339
27	496.3306819
28	467.5483904
29	441.9328829
30	417.9461944
31	395.2356116
32	373.6549745
33	353.5728546
34	334.9486745
35	317.64624
36	301.1959416
37	286.4406541
38	272.3442669
39	258.7471737
40	246.4694381
41	235.2650891
42	224.4206966
43	214.1479486
44	204.8965794
45	196.2170283
46	188.3105565
47	180.8044393
48	173.4645573
49	167.172768
50	161.0039712
51	155.4196237
52	150.3135309
53	145.3242315
54	140.7436856
55	136.4308934
56	132.5290217
57	128.8451467
58	125.2456141
59	121.8899476
60	118.8430358
61	115.8902324
62	113.0342013
63	110.6931967
64	108.2786147
65	106.1055596
66	103.967358
67	102.1991962
68	100.2571705
69	98.33254264
70	96.7047232
71	94.86442438
72	93.26857692
73	91.64715993
74	90.10094992
75	88.72882558
76	87.61027238
77	86.28190476
78	85.11755212
79	84.03808891
80	82.59151362
81	81.60210845
82	80.74154468
83	79.71703049
84	78.57300106
85	77.70143544
86	76.92364403
87	75.86932034
88	75.09374609
89	74.17902333
90	73.42794453
91	72.74304542
92	71.98481623
93	71.20472815
94	70.65183927
95	69.92873201
96	69.14625686
97	68.53384774
98	67.95875928
99	67.5788888
100	66.75313981
101	66.352692
102	65.80207477
103	65.47153406
104	65.05092175
105	64.57508284
106	64.13279727
107	63.86678283
108	63.37040543
109	62.88309842
110	62.4646732
111	61.77983105
112	61.45468791
113	60.99462652
114	60.6411649
115	60.18912148
116	59.80223452
117	59.27284856
118	58.88594399
119	58.4968416
120	58.16182728
121	57.78615548
122	57.44854618
123	57.22843241
124	56.99321202
125	56.5967227
126	56.41934093
127	56.22458617
128	55.75312186
129	55.54888886
130	55.22227887
131	54.87114854
132	54.42538434
133	54.21066642
134	54.1013455
135	53.89630725
136	53.44637527
137	53.05236289
138	52.91063367
139	52.58109335
140	52.33542655
141	52.0486533
142	51.73258564
143	51.55161217
144	51.4784196
145	51.15684072
146	50.8360581
147	50.5535454
148	50.41198085
149	50.29773038
150	50.01656644
151	49.84610843
152	49.67432878
153	49.57643033
154	49.29735232
155	49.09176986
156	48.86326836
157	48.59719349
158	48.44627781
159	48.23367493
160	48.04488996
161	47.8958418
162	47.72423
163	47.55398802
164	47.30223256
165	47.11304161
166	46.87450587
167	46.71445158
168	46.55279025
169	46.32940959
170	46.12178373
171	45.98210724
172	45.83884608
173	45.70505999
174	45.58877771
175	45.42065471
176	45.23078783
177	45.09693095
178	44.93345273
179	44.77839851
180	44.62942784
181	44.4302984
182	44.32403943
183	44.14360706
184	44.00456677
185	43.86159491
186	43.7530356
187	43.65017957
188	43.54675605
189	43.33338286
190	43.19389674
191	43.10466385
192	43.00347631
193	42.87979056
194	42.72453752
195	42.59021983
196	42.48413721
197	42.38474913
198	42.30362578
199	42.13797684
200	42.04496829
201	41.93801952
202	41.8068173
203	41.68867757
204	41.6179124
