iter	Passed	Remaining
0	261	261092
1	265	132390
2	269	89418
3	272	67921
4	277	55133
5	280	46536
6	284	40426
7	288	35835
8	293	32372
9	298	29596
10	303	27304
11	308	25431
12	313	23823
13	318	22421
14	323	21253
15	328	20199
16	333	19255
17	338	18475
18	343	17731
19	348	17080
20	353	16497
21	358	15949
22	363	15438
23	368	15002
24	374	14605
25	379	14215
26	385	13894
27	391	13578
28	397	13309
29	405	13105
30	411	12852
31	416	12608
32	421	12344
33	426	12109
34	431	11906
35	436	11685
36	440	11474
37	445	11279
38	450	11108
39	455	10933
40	460	10771
41	466	10643
42	471	10500
43	478	10386
44	484	10290
45	492	10210
46	500	10144
47	506	10041
48	512	9946
49	517	9830
50	522	9718
51	528	9629
52	533	9524
53	538	9431
54	543	9343
55	548	9254
56	553	9161
57	558	9077
58	564	8996
59	568	8907
60	573	8828
61	578	8748
62	582	8669
63	587	8595
64	593	8534
65	598	8464
66	603	8399
67	609	8354
68	615	8299
69	620	8242
70	625	8179
71	629	8119
72	634	8059
73	640	8012
74	645	7955
75	649	7896
76	655	7852
77	660	7802
78	664	7749
79	671	7718
80	677	7681
81	681	7631
82	687	7600
83	692	7553
84	697	7509
85	703	7472
86	707	7427
87	712	7388
88	718	7353
89	723	7311
90	728	7272
91	732	7234
92	737	7197
93	742	7158
94	748	7126
95	752	7090
96	757	7053
97	762	7016
98	767	6985
99	771	6945
100	776	6911
101	781	6879
102	786	6849
103	792	6824
104	797	6799
105	802	6769
106	807	6737
107	812	6711
108	816	6677
109	822	6651
110	827	6624
111	831	6594
112	836	6567
113	841	6541
114	847	6519
115	852	6499
116	857	6472
117	862	6448
118	868	6431
119	874	6409
120	880	6393
121	884	6369
122	890	6346
123	894	6321
124	900	6300
125	904	6277
126	910	6258
127	914	6232
128	919	6209
129	925	6192
130	929	6168
131	934	6145
132	939	6126
133	944	6102
134	948	6077
135	953	6059
136	960	6047
137	965	6032
138	975	6039
139	982	6038
140	988	6022
141	993	6001
142	998	5983
143	1003	5963
144	1008	5945
145	1013	5929
146	1019	5913
147	1024	5896
148	1030	5884
149	1035	5870
150	1040	5848
151	1045	5834
152	1050	5817
153	1055	5797
154	1061	5787
155	1067	5773
156	1072	5760
157	1077	5742
158	1082	5727
159	1087	5710
160	1092	5694
161	1097	5675
162	1102	5661
163	1106	5641
164	1111	5625
165	1116	5610
166	1121	5595
167	1126	5578
168	1131	5565
169	1137	5552
170	1141	5535
171	1146	5519
172	1151	5503
173	1155	5486
174	1160	5469
175	1165	5456
176	1170	5441
177	1174	5425
178	1180	5415
179	1186	5403
180	1190	5388
181	1196	5376
182	1200	5360
183	1206	5348
184	1211	5337
185	1216	5323
186	1221	5309
187	1226	5297
188	1230	5281
189	1235	5267
190	1240	5253
191	1245	5242
192	1250	5228
193	1255	5217
